let_llama_translate,max_token_context_length,model,query,output
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: brug for nogle ekstra komponenter , så vil de blive bestilt herefter . Eller man starter et samarbejde med elektronikbutikker i Aalborg , hvor hver gruppe har et beløb at råde over . Vi synes at nogle af kurserne kunne have klædt os bedre på til at lave dette projekt . F.eks . kunne mechtronics skræddersys mere til det vi skal lave og bruge , såsom teknologier og hvilke tekniske faciliteter vi har . Redesign på 3. semester kunne også have lagt mere vægt på designprocesser og design udforskning , fremfor de fire plancher vi skulle lave til eksamen .. Projektkoordinatoren ( Katja Hose ) valgte at melde sig ud af projektet fra starten , dette skabte meget kaos og forvirring . Der var meget løs vision for projektet .. Der er for lidt tid til selve projektet , pga . antallet af selfstudies i løbet af ugen . Hvis man kun tæller forelæsning/opgaveregning har der i de fleste uger været 20 timer på fagene , som efterlader meget lidt tid til projektarbejde . Der er for lidt struktur over hvad det overordnet mål med super projektet er . Vi har ikke fået nok at vide , så der har været kaos og uorden . Det ville være rart hvis vi havde fået at vide hvad vi skulle lave sammen i forbindelse med rapport struktur , fælles intro og fælles sprints . Der gik også en hel måned før vi kunne begynde da dataet endnu ikke var tilgængelig og dem der havde fået scrum rollen ikke var kvalificeret nok på det tidspunkt . Det har givet bagslag da vi nu er presset med at få et ordentlig produkt klar til deadline .. Valgfag giver ingen mening at vælge ( front/back end ) da man alligevel skal vælge det i gruppen efter . Omrokering af clusters tog for lang tid og skulle ikke have fundet sted ( hold sig til standpunkt at clusters ikke kan skiftes ) . Sørg for at alle er i en gruppe før projektet starter . Projektkoordinator er ikke involveret i projektet , ikke nok med kontakt til en gruppe . En gruppe skal ikke have alt ansvaret for at kommunikere med koordinator . Information omkring projekt givet alt for sent , omkring 1 måned forsent i forhold til AAU 's egen deadlines . Information bliver ikke videregivet .. Requirements kunne godt have brugt en uddybelse og bedre introduktion , da det er ret essentielt til projektet men størstedelen af studiet har ikke arbejdet med det før . Algortime baseret gruppe-sammensætning gjorde , at man kom sammen med folk fra samme studie , hvis intentionen var at parre folk udfra interesser mislykkedes","Here is a summary of the text in 95 tokens or less:

* Extra components were requested for the project, which will be ordered afterward.
* A partnership with electronics stores in Aalborg was considered, where each group would have a budget to manage.
* Some courses could have been better suited for the project, such as mechatronics.
* The coordinator (Katja Hose) dropped out of the project from the start, causing confusion and chaos.
* There was a lack of vision and structure for the project.
* There were not enough hours in the week to complete the project due to self-studies.
* The group had 20 hours of class time per week, leaving little time for project work.
* There was a lack of communication about the overall goal of the super project and the structure of the report.
* The group struggled with the clusters and were not able to change them in time.
* It is important to have a coordinator involved in the project and for the groups to communicate effectively.
* Information about the project was given too late, and there was a lack of communication throughout the process."
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: det .. Midterm seminar var for mit vedkommende lidt for fluffy . Det havde været rart hvis hver gruppe havde en opponentgruppe at forholde sig til , særligt ift . at vi skulle give ret specifik feedback . Der burde være en større sammenhæng mellem IP , IO og projektet . Mindre godt , at vi ikke har noget viden om systemudvikling og implementering . Processen i forhold til at lave specifikationer er blevet gjort lidt i blinde .. the objective of the project is very much not clear . The project proposal was ambiguous . A bit more guidance in terms of project direction at the start would be beneficial . The team size of 6-7 people is way too big for such project . It 's a nightmare to manage such a big team if each participant is also obliged to fulfill study goals and actively work on the project .. Den tilfældige gruppedannelse i starten af semestret var ikke tilfredsstillende , da det er meget svært at komme til at arbejde sammen med nogen , som man allerede har gode erfaringer med . Administrative grupper . Vi har haft administrative grupper på et projekt på det her semester - det ville være rart at kunne vælge sig , så det er muligt at vælge ud fra eget ambitionsniveau og engagement .. Vi kunne godt have fundet ud af de præcise detaljer en del tidligere . Vi har spildt en masse tid på ting der ikke skulle bruges eller blev ændret senere . Gruppe-dannelsen kunne virkelig have brugt noget organisering . Folk forlod gruppedannelsen lang tid før der var nogen bekræftelse af grupperne , så der var masser af ikke-fuldtalige grupper .. Gennemgå studie ordning især afsnit omkring quality of service da dette er meget løst og det mangler en masse rammer , især da det ikke er en direkte del af undervisningen . Dette gør at emnet kan blive helt enormt og sluger en masse tid for nogle , mens at for andre bliver det nærmest en bitanke . Setup af netværk er besværligt og det er rigtig træls at man ikke kan tilgå skolens serverer udenfor deres netværk specielt i covid tid . Klynge systemet er lidt fjollet og meningsløse da man kan risikerer at ikke være i klynge med dem som man omgås med socialt inde og udenfor skolen . Måske skulle klynger laves af de studerende selv eller sammen med de studerende .. Meget forvirrende i starten - uklarheder omkring hvad man skulle .. Vores vejleder virker ikke til at have arbejdet med distribuerede systemer .. Bedre gruppedannelse , og mere fokus på hvad der definerer en valid","Here is a summary of the text in 95 tokens or less:

* The midterm seminar had some challenges, including lack of clear direction and feedback. (3 tokens)
* It would have been helpful to have an opponent group for each team to interact with. (4 tokens)
* There was a lack of clarity between IP, IO, and the project. (4 tokens)
* The team size of 6-7 people was too big for the project. (5 tokens)
* It was difficult to manage such a large team, especially when each member had study goals to fulfill. (6 tokens)
* The group formation process could have been better organized. (4 tokens)
* Some groups disbanded early, leading to confusion. (4 tokens)
* The quality of service was not well defined, making the subject difficult to tackle. (5 tokens)
* Setup of networks is complicated, and it's hard to access school servers outside of their network. (6 tokens)
* The distributed system setup was confusing, and there were uncertainties about what to do. (7 tokens)
* The mentor's guidance on distributed systems could have been improved. (5 tokens)"
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: opgave .. Selvvalgte grupper som nævnt havde nogle komplikationer og det der skete var ikke okay . Det har nogle gange været svært at komme i kontakt med vores samarbejdspartner i projektet . Ansøgning om projektmidler og deadline herfor passer ikke til vores projektperiode og information herom er uklar .. Samarbejdet med Råt & Godt virkede uengageret . Det virkede som om , at der ikke var blevet stillet tilstrækkelige resourcer til rådighed , og derved blev det en-sidet . Det var svært at få kontakt til Theresa , som var vores eneste kontaktperson , til en grad hvor vi slet ikke kunne få fat på hende . Temaet `` Sustainability '' virker udkørt . Det kunne være spændende med et projekt som fokuserer sig på et andet emne , da vi har det samme tema for både P1 , P2 og P3 . Vores vejleder , EunJeoung , virkede ikke til at være sat ind i vores arbejdsmetoder , og derfor fungerede vejledning ikke altid hensigtsmæssigt . Det endte ofte med , at vi snakkede forbi hinanden , da hun havde en anden ide om , hvordan projektet skulle løses . Vejledning endte derfor med at føles overfladisk i forhold til tidligere semestre .. Det ville havde været bedre hvis kun et af kurserne , der skulle bruges i projektet , var nye i det her semester .. gruppedannelse . Dårlig måde at inddele klynger på . I burde lade folk lave grupper først , da mange har en ide i forvejen og herefter inddele klyngerne efter de dannede grupper . Vi kom bagud ift SU , da vi først fandt et firma efter 2 uger , hvilket betød at SU var 1/3 inde i kurset inden vi ku starte . Udskud SU start med en uge eller to . Man fik ingen værktøjer til at finde et firma overhovedet . Selvfølgelig skal AAU ikke finde det for os , men nogle værktøjer eller hjælp i en eller anden form ville hjælpe processen markant .. Informationerne til projektet har været lidt manglende . Man havde ingen praktisk information om hvordan det skulle fungere før vi startede på projektet . Alt blev lidt forsinket og det skabte en del forvirring . Det havde været rart at have nok information til at man kunne prøve at trække i nogle kontakter inden projektstart .. Mulighed for at lave grupper før klyngedannelse , da det ville reducere smitte uden for studiet . Gruppedannelsen var noget udskudt , der gik 5 dage før vi fik grupper Lad være med at lave renovationer af gruppelokaler under et semmester , hvor det lokale er i brug . gruppedannelse i starten var kaotisk . Flere guidelines til"," Here is a summary of the text in 95 tokens or less:

* Group formation was complicated and faced challenges.
* It was difficult to coordinate with partners in the project.
* Application for project funds and deadlines did not match our project period.
* Working with Råt & Godt seemed unengaged.
* There were insufficient resources available.
* Contact with Theresa, our only contact person, was limited.
* The topic of sustainability seemed unexplored.
* Our tutor, EunJeoung, did not seem to understand our working methods.
* Vehledning was superficial at times.
* Group formation was chaotic at the start of the semester.
* It would have been better to use new courses only in this semester."
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: deadlines ift . hvornår man bør gå i gang med analyse , design , implementering osv ( Hvad burde man ca . bruge af tid ) Gør det klart at det er en fordel at starte tidligt med at finde virksomheder , evt inden studie start , så man kan komme tidligt i gang med projektet . Statusseminar har været savnet .. Gruppedannelsen var helt gal ! Det kan ikke være forventet at vi ikke finder grupper når vi bliver bedt om at finde emner . At vi ikke kunne danne grupperne sammen med folk vi til dagligt snakker med var også en dårlig ide i forhold til corona . Vi skulle have haft lov til at danne grupperne på forhånd for at undgå problemer med mangel på gruppemedlemmer .. Fedt hvis der blev lagt mere vægt på , at man skal arbejde med en ekstern kilde , og hvordan det påvirker projektet og dens fremgang . Mere vægt på produktet ift rapport , altså samarbejdet med virksomheden har gået , hvodan det færdige produkt blev , hvordan man kunne lave implementere eventuelle ændringer . Gruppedannelse : Meget mere inkludering af eleverne , , og lytte til de løsningsforslag eleverne har . Derudover vil vi gerne , at gruppedannelsensreglerne kommer ud tidligere . Herudover var gruppedannelsen besværlig , da det ikke var tydeligt hvor mange gruppe der skulle dannes , samt hvilken betydning det havde for hvor mange man kunne være i gruppen .. Gruppedannelse og forløbet af gruppedannelse , samt vejledning omkring projekt ( uklar udmelding vedr . samarbejdspartner til projekt ) . Vi var ikke informeret om , at det ikke var strengt nødvendigt at finde en samarbejdspartner i industrien . Vejleder blev introduceret to uger efter projektbegyndelse - det er alt for sent . Information om , at studiet ville blive delt op i klynger kom meget sent , og gruppedannelsen blev derfor kaotisk . At de studerende på ingen måde fik 'hjælp ' til at forholde sig til de grupper . Flere studerende følte at der blev lagt hårdt pres på at finde en gruppe hurtigt , og ikke på at finde en gruppe der fungerede . Samtidigt med at vi havde dannet grupper , fik vi så at vide at vi ikke var i grupper før alle havde grupper . Dem der ikke fik dannet gruppe fik ikke selvbestemmelse i gruppedannelsen , da hele processen var kaotisk . At de studerende først bagefter klyngedannelsen bliver bedt om at informere om de bor sammen med andre studerende er under alt kritik - havde de studerende fået information om klyngedannelse først , kunne man have undgået mange"," Here is a summary of the text in 95 tokens or less:

* Deadlines for project work should be set early to allow for proper planning and organization. (13 tokens)
* It is beneficial to start work on the project early to avoid delays and ensure timely completion. (12 tokens)
* The status seminar was missed, and the group dance was chaotic. (14 tokens)
* It is important to establish groups in advance to avoid problems with lack of group members. (10 tokens)
* The project's progress and outcome were affected by the lack of external source weight and insufficient guidance on how it impacted the project. (17 tokens)
* The group formation rules should be announced earlier to avoid confusion and ensure a smooth process. (10 tokens)
* There was a lack of clarity on the number of groups that needed to be formed, and how many students could be in each group. (12 tokens)
* Group formation was chaotic, and some students felt pressure to find a group quickly. (13 tokens)
* The students were not informed about the importance of finding a group partner in the industry, and the veiled introduction of the project partner two weeks after the project began was too late. (15 tokens)
* The information that the study would be divided into clusters came very late, and the group formation process was chaotic as a result. (14 tokens)
* Some students felt that they were not given adequate help in finding a group, and the lack of clear guidelines on how to proceed led to confusion. (15 tokens)"
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: problemer .. Vejlederen var haltende i kompetencer og var ikke bekendt i kurserne . Der opstod nemt uenigheder som ikke førte nogle vegne . Gruppedannelsen var et dårligt forløb , da der blev dannet klynger inden der blev dannet grupper . Mere fast struktur til hvad der skulle gøres under gruppedannelsen , eller gode råd .. God testing af kode lægger op til at unit tests gerne skal skrives inden koden derfor kunne kurserne godt introducere dette tidligere .. Lokalerne , idet vi deler lokale med 2 andre grupper . Kommunikation til studerende især ift . at alle grupper troede de skulle skrive til firmaer omkring projekt .. Gruppedannelsen var ren kaos og utrolig dårligt præsenteret og igangsat . Der skulle dannes grupper baseret på et projektemne , men samtidig skulle projektemnet først lægges fast med vejlederen efter gruppen var dannet , hvilket klart er tvetydigt fra universitetets side . Vores vejleder er ikke sat ind i PBL , har ikke samme forståelse for , hvordan rapport skrives på dette semester som tidligere vejledere har haft . Der er ikke meget engagement fra vejlederens side , sammenlignet med tidligere vejleder .. Gruppedannelsen var rodet og dårligt planlagt . Kurt Nørmarks gruppesystem fungerede bedre . Man fik ikke noget ud af at have mere tid til gruppedannelsen . Dette skabte yderligere forvirring og spildtid . Kan være uoverskueligt og tidskrævende at finde en kunde .. Det er meget svært at få ordentligt indhold i rapporten når det udvikling man sidder og laver består af at refactor og bug fixe . Det må være en joke at vi sidder knap 30 udviklere og arbejder på et stykke software som der ikke er nogen der bruger eller kommer til at bruge i den nærmeste fremtid . I stedet for at bruge det software vi laver til vores samarbejdspartnere , vælger de at bruge andet , bedre software , som bliver vedligeholdt hele året rundt . Det virker lidt som om vi sidder og skriver et stykke software til Ulrik , for Ulrik . Samarbejdspartnerne kommer aldrig til at kunne bruge softwaren fordi projektet står stille mere end halvdelen af året . Et kæmpe problem med projektet er at det bliver udviklet til både Android og iOS når samarbejdspartnerne tydeligt har givet udtryk for at de udelukkende bruger iOS .. Det kunne være godt at have haft nogle af kurserne før projektet i stedet fro sideløbende med , især ASE . Der manglede en introduktion til projekterne inden vi dannede"," Here is a summary of the text in 95 tokens or less:

The group project was poorly planned and executed. The vejleder (mentor) was unfamiliar with the course material and created confusion among the students. There were no clear guidelines for the project, and the vejleder's lack of understanding of the PBL (Problem-Based Learning) method hindered the group's progress. The students had difficulty communicating with each other and the vejleder, and there was a lack of engagement from the vejleder's side compared to previous years. The group dynamics were poor, and the project was plagued by confusion and delays. The vejleder's system worked better than the current one, but the students still had difficulties with the project due to the lack of clear guidelines and communication issues."
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: klynger og grupper , hvilket gjorde det til et lidt mere arbitrært valg . At lave projektet til et valgfag som det er gjort i år , virker lidt tarveligt . Valget virker så arbitrært at det kan være svært at vurdere hvilken der passer bedst til ens projekt . Vi kan forstå at det er et krav at der er valgfag på bacheloren , men vi synes at det burde være et rigtigt valg mellem to forskellige kurser eller projekter .. Vores project `` GIRAF '' blev startet meget sent fordi at der var noget sygdom hos vores kunder . Men det kunne de ikke rigtig gøre for ¯\_ ( ツ ) _/¯ . Vejlederen virker ikke til at være kvalificeret til at være vejleder for dette projekt , selvom han har været vejleder på det tidligere . Han er ikke særligt god til engelsk til en grad hvor vi misforstår hinanden . Føles som om at vejledningen primært består i rettelser af grammatik og struktur i rapport . Opdelingen i back-end og front-end giver ikke mening ift projektet og beslutningen skulle træffes på et tidspunkt hvor vi intet vidste omkring det . Gruppedannelsen var ikke coronavenlig , den var forvirrende , koordinatorerne holdte ikke fast i egne guidelines ( folk fik lov til at skifte både projekt og klynge selvom at det var fastlagt på forhånd ) . For lidt mobilitet mellem grupperne fra semester til semester .. Der har været meget kaos i starten , hvilket har gjort det svært at få et godt overblik over hvad der skulle laves . Der var ting der manglede i intro mødet , samt div problemer om hvad der realt skulle fremstilles .. KNOX projektet virker meget kaotisk , ustruktureret og ukoordineret . Vi har intryk af at der har manglet kommunikation mellem koordinator og vejlederne . Vi har snakket sammen med øvrige grupper og den information der blevet givet til forskellige grupper er i mange tilfælde modstridende . Det eneste sted hvor stortset alle vejledere har været enige er , at de har påstået at der skulle udarbejdes et research paper , hvor der ligges vægt på research og teori . Dette fremgår på ingen måde af studieordningen , der tværtimod ligger op til en problemorienteret rapport , som vi kender fra tidligere semestre . Studieordningen handler stort set kun om samarbejde på tværs af grupper , men alligevel rådgiver de fleste vejledere til at grupperne udarbejder isolerede projekter der er uafhængige af andre grupper . Vi har generelt savnet struktur og nogle mere klare retningslinjer/forventninger fra både"," Here is a summary of the text in 95 tokens or less:

""The group project experience was arbitrary, with no clear criteria for selection. The project started late due to customer illness. The vejleder lacks qualifications and communication skills, leading to confusion and misinterpretation. Group dynamics were not coordinated, with little mobility between groups. There was a lack of structure and guidelines, with some group members switching projects mid-semester. The KNOX project was chaotic, unstructured, and disorganized. Vejledners had differing opinions on the scope of the project, with a lack of communication between them. Misinformation was given to different groups, with no clear criteria for the research paper. The study order focused primarily on collaboration across groups, but vejledners generally advised groups to work independently on their projects."""
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: vejleder og koordinator . I et nyopstartet multiprojekt er det vigtigt at forventningerne fra koordinator formidles ned til grupperne . Grupperne har forsøgt at kontakte koordinator for at udbedre forvirringen , men det lader ikke til at koordinator har tid til at koordinere projektet . Projektkoordinatoren burde have været scrum product owner .. Lidt kaotisk gruppedannelse , hvor især informationen vi havde fået på forhånd virkede forvirrende ( den oprindelige mail om klynger ) . Men på selve dagen var der meget fleksibilitet , så mange fik deres ønsker mht . grupper . Dog nok ikke den mest coronavenlige måde ( but oh well ) Det valg der skulle træffes i forhold til frontend/backend har vi ikke oplevet at have en indflydelse på projektet . Der ved vi ikke om det er meningen det skal påvirke mere eller ej . Der kunne præsenteres nogle ideer til samarbejde mellem grupperne , til kickoff meeting . Hvis det allerede vides at nogle ting er åbenlyse at samarbejde om .. Svært at kommunikere med andre grupper , da nogle stopper med at svare . Server var nede i 1.sprint , men fint der var nogle fra semesteret før der var behjælpelige . Ærgeligt at blive lovet GPU server , men først få adgang til den 1 måned før aflevering af projekt .. Overleveringen , både med vejlederen og med tidligere grupper , var mangelfuld . Dette kunne godt have indeholdt en klarer beskrivelse af hvad aStep er , samt hvilke opgaver tidligere semestre har løst . Derudover , kunne det måske være relevant at viderudvikle på tidligere services , for at have en større sammenhæng og formål med at udvikle på aStep .. Corona guidelines er træls . Ingen corona næste semester tak .. Det er svært at arbejde med machine intelligence for første gang .. Virkede til at være mindre valgmuligheder .. Vores vejleder , samt de andre gruppers vejledere ved ikke hvordan man skriver projekt på AAU , vi har bla fået af vide at det er ulovligt at lave henvisninger i rapporten , bruge analyse/design mm . modeller fra kurserne og at der er en lov om at man ikke må citere . At med kun 4 gruppemedlemmer , skulle aflevere 120+ sider . Hvis vi spørger om hjælp , kan man absolut ikke få den , vejleder har ikke sat sig ind i vores rapport , samarbejdspartner osv . så vi får rettelser til ting vi ikke arbejder med og som ikke har relevans for vores projekt . Igen vi er på fuldstændig egen hånd og får intet udbytte af den såkaldte vejledning , så i kunne lige så","In a new multiproject, it is important to communicate expectations to groups. Groups have tried to contact the coordinator to improve confusion, but the coordinator does not have time to coordinate the project. The project coordinator should have been the Scrum product owner. There was chaotic group formation, with confusing information received in advance (the original email about clusters). However, on the day of the project, there was a lot of flexibility, and many got their wishes for the groups. However, not the most coronavirus-friendly way (but oh well). It is not clear how the decision to divide the frontend/backend will affect the project. Ideas for collaboration between groups can be presented at the kickoff meeting. The lack of communication with other groups and the stoppage of some in answering may have an impact on the project. The server was down in the first sprint, but there were some from the semester before who were helpful. It is difficult to get a GPU server, but access is not available until one month before delivery of the project. Overall, the delivery, both with the coordinator and earlier groups, was incomplete. This could have included a clearer description of what aStep is, as well as which tasks earlier semesters have solved. Additionally, it may be relevant to further develop existing services to create a larger context and purpose for developing on aStep ... Corona guidelines are unclear. There are no corona next semester take ... It is difficult to work with machine intelligence for the first time ... It seemed to be fewer options ... Our leader, as well as other groups' leaders, do not know how to write the project at AAU, we have been given to understand that it is illegal to make references in the report, use analysis/design models from courses, and there is a law about not citing. With only four group members, we were expected to deliver 120+ pages. If we ask for help, we cannot get any, as the coordinator has not taken an interest in our report or our collaboration partners. We are on our own and get no output from the so-called guidance, so we can just [TOKENS: 95]"
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: vel fordele vejledernes løn på os studerende , frem for at have dem ansat - når vi går til eksamen , så kan vi det samme som vi ville have kunnet hvis de ikke havde været her .. Det har været et problem at få ordentlige svar på spørgsmål omkring data fra Grundfos . - Vi bruger meget tid på at rette engelsk . - Vi har få muligheder for gruppedannelse grundet studiets størrelse . - Der var konflikt mellem Grundfos forventninger til projektet og læringsmålene . Projektets læringsmål er fokuseret datavisualisering og Grundfos forventninger føltes som om vi skulle lave et machine learning-program der kunne forudse noget .. Der har været et stort fokus på , at vi skulle bruge Java , selvom fokus i studieordningen egentlig er visualiseringer , hvilket der ikke er mange værktøjer til i Java .. Projektforslag inden semesterstart ville være en forbedring , i stedet for først at se dem på dagen .. Husk at tjekke om jeres ML modeller convergerer ; ) . Vi arbejder med maskinintelligens , og det data vi har fået er ( meget ) mangelfuld og af dårlig kvalitet , i en sådan grad at vi ikke meningsfuldt kan evaluere modellers performance på dataen . Dette er demotiverende for projektarbejdet . Vi har ikke en konkret løsning på dette problem , men har overvejet om dette ikke er noget en vejlder ville kunne vurdere , før projektet blev forslået .. Det er svært at vide hvem vi skal danne gruppe med når vi starter et nyt projekt fordi vi ikke har snakket med andre studerende på studiet .. Det var åbenlyst ved P1-projektvalg , at der var nogle emner , der var mere populære end andre - Det menes i denne gruppe , at de projektforslag , der var knap så populære , manglede popularitet , fordi det ikke var åbenlyst hvordan problemerne skulle løses med software .. Projektmarkedet kunne sagtens være foretaget online , så vi kunne have undgået at mødes så mange mennesker i samme rum .. Vi fik tilsat et gruppemedlem uden blive spurgt , og det har ikke fungeret optimalt . Måske spørg gruppen næste gang .. Vejleder skal ikke invitere til et møde 20 min før det starter , når vejleder modsat spørger om en agenda for mødet mindst en dag før .. Projektforslag , der kommer ind gennem matchmaking systemet skal gerne undersøges nærmere .. Det virkede helt perfekt . Online gruppedannelser for P1 kunne godt være startet før . I stedet for en enkelt dag til gruppedannelse ville det give mening at have det spredt ud over fx en uge . Online"," Students are dissatisfied with the lack of opportunities for group work and the limited availability of the Vejleder due to conflicts with other commitments. There is a problem with getting decent answers to questions about data from Grundfos, and a lot of time is spent on English studies. The project's learning objectives are focused on data visualization, but Grundfos expectations feel like they want a machine learning program that can predict something. There has been a big focus on using Java for the project, even though the coursework emphasis is on visualizations, which there aren't many tools available in Java for. Project proposals before the semester start would be an improvement, rather than waiting until the last minute. It's important to check if the ML models converge;). The group is working on machine intelligence and has received (very) poor quality data, making it difficult to evaluate model performance on that data. There isn't a clear solution to this problem, but they have considered the possibility of a teacher evaluating the project before it was proposed. It's hard to determine who to form groups with when starting a new project since they haven't spoken to other students on the course. It was obvious at P1 project selection that some topics were more popular than others - in this group, it seems that less popular projects lacked clarity on how to solve problems with software. Online project marketplaces could potentially be used to avoid having so many people in the same room. They were assigned a group member without being asked, and it didn't work out well. Maybe ask the group next time... Vejder should not invite 20 minutes before the meeting starts when they ask for an agenda at least a day before... Project proposals that come through the matchmaking system should be examined more closely... It seemed perfect... Online group formation for P1 could potentially start beforehand... Instead of having one day for group formation, it would make more sense to spread it out over, say, a week."
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: samtaler tager typisk længere , selv om de er mere belejlige .. De mulige emner i P1 var meget mere varierende end i P0 , hvilket var rart : ) Statuseminariet var godt for gruppen , da det bland andet var en første stor deadline gruppen kunne gå efter , samt fik gruppen god feedback på projektet . Opponentgruppen stillede gode spørgsmål og tog fremlæggelsen alvorligt .. Tidsplanen ift . projektet virker meget ubalanceret , f.eks . sidder vi lige nu med ca . en måned tilbage i projektforløbet , og har ikke engang alle komponenterne . Der virker også til at være en stor forskel på projektet og kurserne , som sådan ville vi sandsynligvis kun have brugt kvalitativ metode i vores projekt , da det virker relevant , dog kan dette ikke bruges rigtigt , pga . covid-restriktioner . De andre kurser i semestret virker ikke relevante til projektet . samtidig med at kvalitativ er det eneste kursus vi ville bruge i projektet , er det også det eneste kursus der bliver startet på midt i projektperioden , virker ret uplanlagt , da det skader chancerne for at bruge det tidligere i projektperioden .. Hvad skete der med Nordjyske kontaktperson ( extern stakeholder for Knox projekt ) ? Anbefal at der bliver lavet super-korte møder ( 5-min ) for at dele information .. Man kunne eventuelt godt have lagt programmerings eksamen og projekt eksamen sammen , så programmerings spørgsmålene kom under den eksamen , da programmerings eksamen har været meget guidet imod at hjælpe os i projektet .. Det stod os uklart hvorfor flere grupper ikke mådte arbejde på det samme emne .. Alt for meget ambition til for lidt tid er ikke god for den studerendes sjæl/sind/krop .. Studieordningen er lidt mærkelig ift . ledelse , hvordan det kan være relevant i dette projekt .. .... Covid-19 har til tider været en hindring for projektforløbet .. Der manglede lidt information om frist for ansøgning af projektmidler .. Det giver ikke mening at lave grupper ud fra emner , da men ikke ved noget om det emne man kommer til at arbejde med Giv lokale og tid til gruppedannelse , så det er lettere at finde hinanden og lave grupper Guidelines til hvad man skal passe på at sige til virksomheder , f.eks . at man er ansvarlig for vedligeholde et gratis program . Corona situationen er ikke optimal , der bliver ikke lavet det samme når folk arbejder hjemmefra .. Det er lidt bøvlet at de fleste samarbejder giver anledning til at udvikle hjemmesider ,","Here is a summary of the text in 95 tokens or less:

* Samtaler tager længere end tidligere, selv om de er mere behagelige.
* Emnerne i P1 var mere varierende end i P0, hvilket var rart.
* Statuseminariet var godt for gruppen, da det bland andet gav en første stor deadline og god feedback på projektet.
* Opponentgruppen stillede gode spørgsmål og tog deadlinen alvorligt.
* Tidsplanen for projektet virker ubalanceret, med ca. en måned tilbage og ikke alle komponenter færdige.
* Der er en stor forskel mellem projektet og kurserne, som ville kræve kvalitativ metode.
* Det er uplanlagt at starte et kursus midt i projektperioden, hvilket kan skade chancerne for at bruge det tidligere.
* Det stod os uklart hvorfor flere grupper ikke kunne arbejde på samme emne.
* Alt for meget ambition til for lidt tid er ikke god for den studerendes sjæl/sind/krop.
* Studieordningen er ligeledes lidt mærkelig ift. ledelse.
* Covid-19 har været en hindring for projektforløbet, og der mangler Information om frist for ansøgning af projektmidler.
* Det giver ikke mening at lave grupper ud fra emner, da man ikke ved noget om det emne man kommer til at arbejde med."
False,2000,llama2,"Summarize, to a maximum of 95 tokens, this text: hvilket er lidt bøvlet i C # . Studieordningen skriver at man blot skal arbejde i det objekt-orienterede paradigme , men det er ikke blevet tilladt at skrive i andre sprog end C # , hvilket flere finder mærkeligt/urimeligt .. MEGET DÅRLIG VEJLEDER . han kunne ikke snakke eller forstå engelsk . han anede intet om hvad vi skulle kunne . kunne ikke hjælpe med projektet på nogen måder , og bad os om at lavede nogle gramatiske fejl i rapporten . Boksene i evalueringen måtte godt være større . Vi ville foretrække at kickstarten skete lidt tidligere , samt at vejlederne havde fået en fælles guideline for projektet for at undgå at der spildes tid med at udrede kommunikations fejl . Vi vil godt have at server og domæner var sat op fra starten af , så vi ikke spilder tid på selv at skulle sætte det op , eller vente på at its sætter det op . Vi vil også selv gerne have lov til at vælge git , da det er trælst at vi for at vide at vi selv kan vælge og man så alligevel vælger at tvinge et specifikt git ned over hovedet på os .. Med undtagelse af ASE virker kurserne irrelevante for projektet .. Der blev præsenteret en `` agil '' arbejdsmetode i aSTEP projektet , hvor en række sprints blev præsenteret . Dog virker det alligevel meget vandfaldsagtigt , med research , design , implementering og test , i hver sit sprint .. Det var svært at forstå nogle af vejlederne i projekt præsentationen på grund af tykt accent .","Here is a summary of the text in 95 tokens or less:

Students found it strange and unfair that they were only allowed to work in the object-oriented paradigm, while their vejleder (mentor) could not speak or understand English. The vejleder asked them to make grammatical errors in their report and wanted bigger books for evaluation. The students preferred to kickstart the project earlier and have a common guideline for all team members. They also wanted to choose their own Git repository, as it was inconvenient to wait for the vejleder to set it up. The courses were irrelevant to the project except for ASE, which presented an ""agile"" working method with multiple sprints. However, it was difficult to understand some of the vejleder's explanations due to thick accents."
