Campus,Semester,Course,Feedback_good,Feedback_bad,Feedback_extra
Aalborg,9,Entrepreneurskab,"Kursusmaterialet var overvejende godt.  De to bøger var gode, men gruppen er splittet om relevansen af videnskabelige artikler der fokuserer på de teoretiske aspekter af entreprenørskab.  Det fungerede godt med gæsteforelæsninger der giver de studerende et indblik i de praktiske aspekter af kurset anvendt i den virkelige verden.","På trods af forelæserens gode kompetencer for kurset, taler forelæser ofte abstrakt og man skal som studerende have en god baggrundsviden for at følge hans argumenter, som ikke altid er særlig konkrete. Det kan gøre det svært at følge med i forelæsningen.  Han gør dog til dels op for dette med youtube videoer der forklarer dele af pensum.","Det er godt at have muligheden for at lave et miniprojekt, men projektet havde meget fokus på at få den studerende igennem pensum. Dette er godt for eksamen, men det ville nok have været sjovere med noget praktisk, som f.eks. at lave en ansøgning til Y Combinator eller lignende."
Aalborg,9,Specialiseringskursus i maskinintelligens,,"Kursets formål:  Vi mener at kursets formål er helt ved siden af, eftersom vi ikke har haft mulighed for at tilegne os den grundlæggende baggrundsviden som det kræver at læse papers inden for et specifik emne og kunne præsentere dem. Vi mener heller ikke det at læse og præsentere papers har den store relevans for en softwareingeniør, da dette ikke nær så vigtigt et egenskab, som det er at kende til en bred vifte af emner inden for maskinintelligens og kunne gøre brug af denne viden i den virkelige verden med praktiske kompetencer. Hvis vi havde haft denne viden ville det måske have givet mere mening, men fokuset på forksning er mere passende for datalogi end software.  Vi mener at det ville være mere passende med et kursus, der giver et struktureret og bredt kendskab til state-of-the-art teknikker og research-områder, givet at vi ikke har disse kompetencer i forvejen. Som softwareingeniører ville det også være relevant med mere fokus på praktiske kompetencer til at udvikle disse teknikker selv, e.g. i form af sideløbende opgaver/projekter.    Kurset er inkonsistent:  Vi har haft 6 (+ intro) forelæsninger alt i alt. 2 af de forelæsninger tog udgangspunkt i bestemte papers, som var meget specifikke inden for recommender systems, mens de resterende 4 handler om mere overordnede emner inden for maskinintelligens. 2 af de 4 forelæsninger var forholdsvise basale, og blev ikke afholdt i starten af kurset. Dette tyder på at der er en inkonsistens i kurset. På den ene side forventes det at den studerende kender til grundlæggende (og delvist mere avancerede) teknikker og terminologi inden for maskinintelligens, for at kunne forstå de papers vi skal præsentere. På den anden side kommer der 2 ud af 6 forelæsninger der dækker forholdsvist basale ting, som enhver der kan læse de andre papers burde vide.  De resterende 2 ud af 4 forelæsninger om overordnede emner (Reinforcement learning og Graph networks) virkede derimod som normale kursusgange, hvilket ikke er konsistent med de andre kursus-formål (paper-læsning og præsentation).  Det virker i denne sammenhæng ikke som om at kursusholderne har kommunikeret og struktureret kurset særlig godt.",
Aalborg,9,Specialiseringskursus i maskinintelligens,,"Kursets formål:  Vi mener at kursets formål er helt ved siden af, eftersom vi ikke har haft mulighed for at tilegne os den grundlæggende baggrundsviden som det kræver at læse papers inden for et specifik emne og kunne præsentere dem. Vi mener heller ikke det at læse og præsentere papers har den store relevans for en softwareingeniør, da dette ikke nær så vigtigt et egenskab, som det er at kende til en bred vifte af emner inden for maskinintelligens og kunne gøre brug af denne viden i den virkelige verden med praktiske kompetencer. Hvis vi havde haft denne viden ville det måske have givet mere mening, men fokuset på forksning er mere passende for datalogi end software.  Vi mener at det ville være mere passende med et kursus, der giver et struktureret og bredt kendskab til state-of-the-art teknikker og research-områder, givet at vi ikke har disse kompetencer i forvejen. Som softwareingeniører ville det også være relevant med mere fokus på praktiske kompetencer til at udvikle disse teknikker selv, e.g. i form af sideløbende opgaver/projekter.    Kurset er inkonsistent:  Vi har haft 6 (+ intro) forelæsninger alt i alt. 2 af de forelæsninger tog udgangspunkt i bestemte papers, som var meget specifikke inden for recommender systems, mens de resterende 4 handler om mere overordnede emner inden for maskinintelligens. 2 af de 4 forelæsninger var forholdsvise basale, og blev ikke afholdt i starten af kurset. Dette tyder på at der er en inkonsistens i kurset. På den ene side forventes det at den studerende kender til grundlæggende (og delvist mere avancerede) teknikker og terminologi inden for maskinintelligens, for at kunne forstå de papers vi skal præsentere. På den anden side kommer der 2 ud af 6 forelæsninger der dækker forholdsvist basale ting, som enhver der kan læse de andre papers burde vide.  De resterende 2 ud af 4 forelæsninger om overordnede emner (Reinforcement learning og Graph networks) virkede derimod som normale kursusgange, hvilket ikke er konsistent med de andre kursus-formål (paper-læsning og præsentation).  Det virker i denne sammenhæng ikke som om at kursusholderne har kommunikeret og struktureret kurset særlig godt.",
Aalborg,9,Project,Der er ret frie tøjler for hvad man kan vælge at arbejde med.  Det er godt at der er mulighed for at arbejde med eksterne.,,"Vi arbejder med maskinintelligens, og det data vi har fået er (meget) mangelfuld og af dårlig kvalitet, i en sådan grad at vi ikke meningsfuldt kan evaluere modellers performance på dataen. Dette er demotiverende for projektarbejdet. Vi har ikke en konkret løsning på dette problem, men har overvejet om dette ikke er noget en vejlder ville kunne vurdere, før projektet blev forslået."
Aalborg,9,Semester,,"Givet corona-situationen synes vi personligt ikke at der var grund til fysiske forelæsninger.  Desuden kom der ikke udmelding om hvilke cluster man var i før de fysiske forelæsninger startede.    Styringsgruppemøderne er for korte i forhold til hvor mange kurser der er på dagsordenen. Hvis der ingen problemer er, er der selvfølgelig tid nok, men problemer tager længere tid at diskutere. Så hvis de studerende har problemer med kurserne, så er der lige pludselig ikke nok tid til at drøfte dem alle.",
Aalborg,9,Studiemiljø,,,Vi har arbejdet hjemmefra.
Aalborg,9,Entrepreneurskab,"Gæsteforlæsninger var interessante for at få et indblik på hvordan faget kan bruges i industrien.    Online undervisning hvor videoerne kan gensees under eksamenslæsning.    Brugen af youtube videoer i de tidlige kursusgange, da det var en god måde at lære anderledes end til forelæsninger.","Problemer med undervisers internetforbindelse, hvilket gjorde at der til tider var så meget lag at det var svært at følge med.    The Lean Startup bogen var meget lang i forhold til hvor akademisk interessant den faktisk er. Det ville være rart hvis man bare skulle læse de relevante dele der af, og ikke bare om forfatteren der fortæller historier om firmaer han har samarbejdet med.",
Aalborg,9,Specialiseringskursus i maskinintelligens,"Oplæg var en god måde at øve til eksamen på, og finde ud af hvad man kan forvente af spørgsmål.",De andre deltagere læste som regel ikke de papers der blev fremlagt.,
Aalborg,9,Project,"Gode vejledere, som havde relevant feedback til hvad der blev lavet.    God tid til at fokusere på projektet ifht tidligere semestre.","Der kunne godt bruge en introduktion til projektet, det var svært at finde ud af hvad man faktisk skal opnå det her semester. Det virker ofte som om at det bare er research til 10. semester, uden et klart defineret mål.",
Aalborg,9,Semester,Specialiseringskurset var et godt supplement til projektet.,ENT faget virkede ikke særlig relevant for semesteret.,
Aalborg,9,Studiemiljø,.,.,Vi har nærmest ikke været på universitetet dette semester.
Aalborg,9,IT-ret,"Undervisningen generelt. Både studerende og underviserne var engagerede i undervisningen, og underviserne gjorde brug af dette.  Case studies gjorde abstrakt materiale tilgængeligt, og resulterede i individuel refleksion.  Undervisere var gode til at have for øje at dette var første jura kursus vi har haft, og underviste på et niveau der var tilgængeligt. Derudover var de gode til at gøre opmærksom på hvad og hvornår det var ekstra relevant for os.","Synopse eksaminer er ikke noget vi har meget bekendskab til på vores uddannelse og derfor var kravene lidt uklare. Derudover var ""øve"" synopsen på et helt andet format end den faktiske synopse der gjorde at man ikke stillede spørgsmål til underviser om hvad formatet burde være.    Der kunne godt have været flere muligheder for individuel og gruppe diskussion om en problem stilling i stedet for at det altid var i plenum.    Omfanget af materialet bør passe til kursus tiden. Der var flere ting som enten var markeret selvstudie eller som forelæser var nød til at springe over fordi tiden var knap. Dette er en stor udfordring når synopsen også skal skrives i løbet af semestret da det er svært at finde tid ved siden af sit forspeciale til at lave den mængde forberedelse.","Eksamens synopse sideløbende med præsentationer i specialiseringskurserne giver meget tidspres.    Det var et godt kursus med relevant meget relevant indhold, men inden for emner vi nok ikke selv havde undersøgt."
Aalborg,9,Specialiseringskursus i semantik og verifikation,Spændende at kunne dykke dybt ned i nogle faglige emner uden hele tiden at skulle have for øje at man skulle lære nok af det udenad til at kunne forsvare det til eksamen.    Undervisningen havde et passende niveau.,"Det er urealistisk at man skal nå at læse 6 papers og forberede en præsentation af et af dem på en uge. Hvis det er forventningen til præsentationerne så er det nok skudt ved siden af målet, da det nok ikke sker alligevel.    Der var ikke enighed blandt underviserne om hvad der var en god fremlæggelse, så folk som har fulgt rådende til en forelæsning kunne så få kritik af det til den næste.",
Aalborg,9,Project,"Det er spændende at dykke dybt ned i et emne, og det at vejleder har så meget viden inden for det giver en god faglig diskussion hvor man kan mærke at vejleder interesserer sig for emnet.",,
Aalborg,9,Studiemiljø,Gode muligheder for at desinficere en arbejdsplads efter brug da der er placeret desinfektions klude alle steder.,"Det virker umyndiggørende at låse dele af gangarealerne af, og det besværliggør at komme til og fra undervisningen.",
Aalborg,9,Entrepreneurskab,Online undervisning har fungeret rigtig godt.  Miniprojektet har fungeret godt og feedback har været meget fyldestgørende.,,
Aalborg,9,Specialiseringskursus i menneske-maskine interaktion,Gode diskussioner omkring artikler.,"Vi ville ønske at der var nogen slides til undervisningen, som man kan bruge til at forberede sig.    Det kunne have været rart hvis undervisningen var blevet optaget.",
Aalborg,9,Project,God vejledning fra bivejleder.,Hoved og bi -vejleder er ofte uenige og dette skaber forvirring i gruppen. Især da bivejleder ikke er med til alle møder.     Hovedvejleder er tvetydig alt efter om bivejleder er til stede.    Hovedvejlederens attitude ændre sig meget alt efter om bivejlederen deltager i mødet.     Kvaliteten af vejledningen afhænger meget af om det er noget vejlederen selv har foreslået eller det er gruppens eget foreslag. Vejleder virker ofte uinteresseret i projektet.     Meget forvirring omkring specialiseringen og hvordan  den har passet ind i projektet.,
Aalborg,9,Semester,,Det har været svært at danne sig et overblik over hvad de enkelte specialiseringskurser har handlet om. Mere info kunne være godt.     F. eks. er studieordningen for hver specialiseringskursus fuldstændig ens.,
Aalborg,9,Studiemiljø,,"For mange mennesker i for små rum under undervisning (COVID-19).    Retningslinjer overholdes ikke af alle ansatte på AAU. (8 personer i et rum med max 4)    Det virker til at AAU (Cassiopeia) prøver at ""smutte udenom"" regeringens retningslinjer i forhold til COVID-19. F. eks. er mundbind er ikke nødvendigt i kantine pga. låste døre, men dørene er ikke låst.",
Aalborg,9,Entrepreneurskab, Online undervisning giver mulighed for meget relevante videoer som kan afspilles inden forelæsning.  - Dejligt at forelæsninger er optaget så man kan vende tilbage til dem  - Miniprojektet er fint  - Litteratur fra Ries og Osterwalder er godt, Ivans internetforbindelse tror vi ville have godt af at blive opgraderet. Han er klar over dette.  - Litteratur fra Rose er mangelfuld - dette er det andet kursus vi har hvor hans bøger er blevet brugt hvor de føles halvfærdige og ikke gennemarbejdede.,Undervisning i entreprenørskab er et rigtig fint emne vi har været glade for at få.
Aalborg,9,Specialiseringskursus i menneske-maskine interaktion, Modellen for undervisning med læsning inden og diskutering af artikler synes vi er OK, Undervisningen bør inkludere en teoretisk tilgang til hvordan man reviewer et paper allerede i første forelæsning.,
Aalborg,9,Project," Projektgruppen fungerer godt med god kommunikation.  - Vores vejleder Tim er vi meget tilfredse med, både i forhold til hans engagement og indsats.", Det er lidt kritisabelt at der er allokeret hele årgangen (vi tror cirka 25 mennesker) til et lokale der er udstyret til 10 mennesker. Især under corona har dette været mærkeligt.,
Aalborg,9,Studiemiljø,Klynge 5 fællesområdet er super fint.,Se tidligere nævnte kommentar om fælles arbejdsrum.,
Aalborg,1,Datalogiens teoretiske grundlag,God ide med videoer. Der kunne være lidt mere engagement fra underviseren i videoen. Potentielt bedre mikrofon og lidt bedre energi. Workshops fungererede godt.,"Videoerne kunne være bedre.   Opgaverne fremkom nogen gange irrelevante ift. workshops. Det var ikke alle opgaver som vi fik lavet, men workshops havde vi ikke de store problemer med.   Connect kunne være lidt besværligt at bruge.","Der er bred uenighed om hvorvidt Connect var godt eller ej. Man kunne eventuelt introducere det bedre, eller prøve at holde sig til opgaverne i bogen. Muligvis lav Connect opgaverne som alternativer til opgaver i bogen."
Aalborg,1,Imperativ programmering,Undervisningen var af generel høj standard. Vi har ingen kommentarer til forbedring af dette.,Nogen gange kunne et emne godt virke som en stor mundfuld. Emnerne var af meget varierende størrelse.   Emnerne kunne nogen gange fremkomme i forkert rækkefølge. Nogen af os mente at man eventuelt kunne have arrays før debugging.,
Aalborg,1,Problembaseret læring,"Entusiasmen var generel høj, der var dog forskel mellem de forskellige undervisere.","Bogen virkede lidt irrelevant. Nogen af opgaverne kunne måske omhandle vores eget projekt. Der var f.eks. en opgave hvor vi skulle finde på en anden case og løse opgaver, mens vi ikke havde gjort det for vores eget projekt.",
Aalborg,1,Project,"Vi har haft det godt med vores vejleder og åbenheden for forskellige måder at få hjælp på.   Opponent grupperne virkede godt, det var dog lidt svært at se hvilke kriterier man skulle opfylde. Det kunne fremlægges lidt tydeligere.","Gruppedannelsen virkede lidt kaotisk. Man kunne eventuelt give mere information til de studerende på forhånd før gruppedannelsen, så man ikke pludselig står i en situation uden planer. Alle fik en gruppe, men man havde ikke selv meget kontrol over situationen.",
Aalborg,1,Semester,Corona håndtering ift. undervisningen fungerede generelt godt. Vi har ikke en måde at forbedre det på. Det er dog ærgerligt at det er gået lidt udover studiet.,"Kurserne kunne godt have en bedre tråd mellem hinanden. Det virker ikke som om at alt fra DTG kan kobles til IMPR. PBL virkede lidt som et kursus der var på sidelinjen og ikke blev koblet til de 2 andre.   Ærgerligt med Studiearrangementer, men det var der jo desværre ikke noget at gøre ved.",
Aalborg,1,Studiemiljø,"Fint med eget gruppelokale, lidt ærgerligt med dobbelt grupperum, da de 2 grupper kan ende med at forstyrre hinanden.","Forelæsninger kunne med fordel godt være håndteret flere gange fysisk. Dette er dog svært at efterleve ift. corona, trods det synes vi godt det kunne gøres fysisk lidt oftere.",
Aalborg,1,Datalogiens teoretiske grundlag,"Det er dejligt at have adgang til videoerne som forklarer emnerne inden for DTG altid, så kan man også selv vælge hvornår man vil se dem.","Bedre videoproduktion, kvaliteten af videoerne er ikke altid gode (her menes lav volumen samt fjernelse af vandmærke da det nogle gange dækker ""tavlen"").  Prøv at holde det hele i samme sprog, da de forskellige begreber bliver forklaret på dansk og derefter bruges det på engelsk.  Manglende måde at få feedback på, fx ved afleveringer, eller små opgaver.  I videoer kunne man godt skrive tingene op på forhånd så der ikke laves små fejl der skal laves om under optagelsen, så bliver videoerne også kortere.",Eventuel flere live forelæsninger
Aalborg,1,Imperativ programmering,"Lektier til lektionerne fungere godt, da Kurts egen slide platform fungere godt.",,
Aalborg,1,Problembaseret læring,Forelæsningerne fungere godt,Bogen er lidt ligegyldig i forhold til forelæsningerne.,
Aalborg,1,Project,Gruppedannelsen fungerede godt på P1.,"Mere info omkring starten af P0, så man ved mere omkring hvordan rapporten skal sættes op osv.",
Aalborg,1,Semester,"Forelæsninger over MS-teams fungerer godt, men det kunne være godt hvis de blev optaget så man kunne gense nogle af forelæsningerne.","Delte grupperum fungere ikke lige så godt, som egene grupperum.",
Aalborg,1,Studiemiljø,"Ruslan fungerede okay, men havde været sjovere fysisk.","Corona har fjernet alt, der var ingen begivenheder.",
Aalborg,1,Datalogiens teoretiske grundlag,Hjælpelærerne er super  God opdeling af emner i form af blokke osv.,"Online undervisning fungerer dårligt til matematik  Hjælpelærere der ikke snakker dansk, fungerer ikke hvis vi skal lære de danske begreber  Jaron kunne godt bruge lidt mere erfaring",
Aalborg,1,Imperativ programmering,Det meste:     Online virker fint for programmering     Kurt er super     Hjælpelærere er gode,"For lidt tid til at spørge om hjælp, da programmering kræver en del opstart osv. for at få gang i hver opgave.    Kurts opgavebeskrivelser kunne være bedre",
Aalborg,1,Problembaseret læring,,Nogle begreber forklaret dårligt  Meget sent man får information ifht. hvornår det skal afleveres,
Aalborg,1,Project,Lærerigt  Godt indblik i arbejdslivet  Samarbejde  Gode vejledere,,
Aalborg,1,Semester,,delte grupperum,Træls med Covid-19
Aalborg,1,Studiemiljø,,Der mangler en åben kantine  For få tavler  mere sprit,
Aalborg,1,Datalogiens teoretiske grundlag,Den digitale undervisning er af GOD KVALITET,Det ville være mest optimalt at være på skolen,
Aalborg,1,Imperativ programmering,"Synes undervisningen er rigtig spændende og jeg synes underviseren er god til at forklare ting og man er altid velkommen til at spørge, hvis man ikke helt forstod det","Det er selvfølgelig suboptimalt med corona, men synes undervisning én er af høj kvalitet, så har ikke noget dårligt at sige",
Aalborg,1,Problembaseret læring,"Det er en rigtig spænendende måde at lære om tilgangen til et problem, specielt, hvis man som stx'er ikke har været vant til at tænke på denne måde","Synes måske man kunne ease folk mere ind i tingene, men det er nok taget fra det standpunkt, hvis man er helt ny til problembaseret løsninger",
Aalborg,1,Project,Jeg føler 7 mennesker er for mange mennesker i en gruppe,Jeg synes 4 eller 5 max personer i hver gruppe kunne være optimal,
Aalborg,1,Semester,"Jeg synes der er gode studieaktiviteter og hjælpemidler til os studerende, men også høj kvalitet af undervising",Jeg synes måske at man bare skulle skrive p1 i stedet for at skrive 2 opgaver på det første 1/2 år,
Aalborg,1,Studiemiljø,Folk er virkelig venlige og imødekommende! Jeg synes man er god til at respektere hinanden,,
Copenhagen,1,Datalogiens teoretiske grundlag,At underviserne er til stede.,Det ville være godt hvis de gik mere rundt og spurgte om vi havde brug for hjælp.    Vi savner fysisk undervisning.,
Copenhagen,1,Imperativ programmering,Fungere godt med fysisk forlæsning + supplerender videoer.    De er gode til at gå rundt.,Forlæsningerne kan godt nogengange være lidt lange. f.eks. når ALLE opgaverne gennemgåes inden de skal arbejdes på.    2 mindre pauser i steden for 1 stor.,
Copenhagen,1,Problembaseret læring,Læsestoffet er overskueligt.,Savner fysisk undervisning.,
Copenhagen,1,Project,Vejledning fungere godt.    Faste grupper i starten er en god ting.,Det fungere dårligt at side sammen og skrive tekst.    Der bliver for meget snak og overvejelser og ikke nok skriveri. Det svært at fordybe og koncentrere sig.,Bruge nogle værktøjer til tidsplanlægning. + hvordan man bruger dem og får dem til at fungere.
Copenhagen,1,Studiemiljø,Vores grupperum er en god facilitet.,"Corona har været ret nedern, det sociale mangler lidt.",
Aalborg,1,Datalogiens teoretiske grundlag,De videoer der skulle fungere som forelæsning som Jaron IKKE selv havde lavet.    Den ene teams forelæsning fra Jaron fungerede godt. Det ser vi gerne mere af.,"Alle Jarons videoer som han selv havde optaget. Der var fejl og mangler, og virker usikker samt uforberedt i materialet.    Selvstudierne fungere slet ikke. Skemalæg dem i stedet for, sådan at vi rent faktisk kan få hjælp til materialet du underviser i.",
Aalborg,1,Imperativ programmering,Kurts engagement i stoffet og undervisningen samt videoerne dertil er fantastiske og dejlige.    Niveauerne er passende fra at man starter uden viden i programmering til at få en forståelse indenfor det.    Feedback på afleveringsopgaverne er dejligt. Så har man mulighed for at forbedre sin kode-stil endnu mere.,"Videoerne er nogle gange lidt ældre, så måske kunne de blive genoptaget.",
Aalborg,1,Problembaseret læring,Gode redskaber og metoder til projektarbejde.  Vores forelæsere er også engageret i det materiale de underviser i.,"Indholdet i f.eks. cases skal gerne være relevant til studiet, ellers virker det ikke så relevant at lave.",
Aalborg,1,Project,"Vi har både i P0 og i P1 haft engagerede vejledere. Dog har der været kæmpe forskel mellem vejlederen fra P0 til P1, hvor at P1-vejlederen har været en bedre vejledertype i forhold til gruppens behov.","Vi havde 2 gruppemedlemmer som droppede ud undervejs i projektfasen, hvilket skabte forvirring i gruppen.",
Aalborg,1,Semester,"Gode opstartskurser, som giver fornemmelse af essensen af studiet tidligt i forløbet.  Live-forelæsninger fungerede også okay i forhold til forventningerne.","Det ville have været mest optimalt hvis vi kunne have forelæsninger i auditoriet, men vi må gøre hvad der er nødvendigt i disse tider.",
Aalborg,1,Studiemiljø,"Det er svært at sætte ord på, eftersom vi ikke har haft særlig meget fysisk undervisning uden for vores grupperum","Det er svært at sætte ord på, eftersom vi ikke har haft særlig meget fysisk undervisning uden for vores grupperum",
Aalborg,1,Datalogiens teoretiske grundlag,"Workshops fungerer generelt godt.  Ærgeligt vi selv skal programmere en algoritme med rekursive funktioner, som vi endnu ikke har lært om.  Følg bedre med IMPR.",Mangel på forelæsninger.  Undervisningsmateriale.  Opgaver.  Blandet engelsk/dansk undervisning (fagtermer),Connect opgaver virker fjerne sammenlignet med workshops
Aalborg,1,Imperativ programmering,VIMA forberedelse  Teams forelæsninger hver lektion  Gode opgaver  God mulighed for at få hjælp fra hjælpelærere eller underviser  Afleveringer med feedback,"Hjælpelærere kunne enes om hvordan de giver feedback, og nogle gange læse opgavebeskrivelsen igennem en ekstra gang.   Når feedback på en aflevering kommer 2 uger for sent, kan afleveringen nemt være ude af hovedet igen.","Opgavebeskrivelser kunne måske være lidt mere dybdegående - f.eks afleveringsopgave 8 hvor vi blev givet en kode, og skulle arbejde med en ""fast"" kode, men vi til forelæsningen mødt af en skuffet kurt, da halvdelen af opgaverne kun virkede på koder af samme form."
Aalborg,1,Problembaseret læring,Feedback-møder på teams har fungeret godt.  Gode værktøjer til gruppearbejde.  Procesanalyser hjælper meget på projekter.,"Meget af læsningen til forberedelse føles irrelevant.  Nogle forelæsninger bliver langtrukne og kedelige, og indeholder meget irrelevant information. F.eks den gang der blev præsenteret om noget i 20 minutter, hvor den indledende sætning var ""Dette kommer I ikke til at bruge nogensinde, og i vil måske høre 1 af ordene på jeres uddannelse"". Nogle forelæsere er bedre end andre.",
Aalborg,1,Project,"Det er en god arbejdsform, der giver gode erfaringer.  Fedt at vi får lov til at tage den viden vi har erhvervet i brug. Det binder kurserne sammen.  Meget lærerigt.  Projektmarkedet til p1 var en god idé.  Fedt at have en vejleder",Projektmarkedet p1 ville fungere bedre fysisk.,
Aalborg,1,Semester,Det var rart at der var mange planlagte arrangementer.  Teams undervisning har fungeret godt nok.,"Rus-periode.  Introdag (høj musik på lille plads) - Det var svært at snakke sammen.  Sært at alt fungerer på teams, og så er der lige pludselig et møde på zoom.",
Aalborg,1,Studiemiljø,Fint med mulighed for afspritning af hænder og borde.  Godt med en dørhåndtags-afspritter ;)  Fine lokaler med god belysning,Delte gruppelokaler  Ville have været rart hvis tutorene lavede rundvisning på basis.,
